run_id,symbols,BUY_START_TIME,BUY_END_TIME,RSI_MIN,RSI_MAX,MOMENTUM_RVOL_MIN,REQUIRE_BREAKOUT,ATR_STOP_MULTIPLE,ATR_EXTREME_PERCENT,MAX_HOLD_MINUTES,MAX_CAPITAL_PER_TRADE,MAX_POSITIONS,closed_trades,win_rate,profit_factor,expectancy,average_winner,average_loser,max_drawdown,sharpe,best_ticker,worst_ticker,best_time_of_day,worst_time_of_day,losing_streak,latest_regime,research_score
94,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,13:30,40.0,80.0,0.8,False,1.0,0.015,60,0.05,2,81,0.09876543209876543,0.02659446178935273,-1.0747591666665293,0.29730593750012435,-1.2251224657532858,0.003486980899999471,-0.44528665501305786,XLI,XLF,18,16,20,RISK_OFF,-0.24579544877247272
91,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,13:30,40.0,80.0,0.8,True,1.0,0.015,120,0.05,1,23,0.13043478260869565,0.03105471699134245,-0.89699119565205,0.2204058333334468,-1.0646007499998746,0.0008252319000002171,-0.24932038296230125,SPY,XLF,18,16,10,RISK_OFF,-0.2616759257388426
89,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,13:30,40.0,80.0,0.8,True,1.0,0.015,60,0.05,1,23,0.13043478260869565,0.03105471699134245,-0.89699119565205,0.2204058333334468,-1.0646007499998746,0.0008252319000002171,-0.24932038296230125,SPY,XLF,18,16,10,RISK_OFF,-0.2616759257388426
114,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,15:15,40.0,80.0,0.6,True,1.0,0.015,60,0.05,2,68,0.08823529411764706,0.025120167214835377,-1.0494530147057768,0.30647291666673837,-1.1806716532256973,0.0028649135999995632,-0.43965704004206807,XLV,XLF,15,19,21,RISK_OFF,-0.26316494255698597
116,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,15:15,40.0,80.0,0.6,True,1.0,0.015,120,0.05,2,68,0.08823529411764706,0.025120167214835377,-1.0494530147057768,0.30647291666673837,-1.1806716532256973,0.0028649135999995632,-0.43965704004206807,XLV,XLF,15,19,21,RISK_OFF,-0.26316494255698597
105,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,15:15,40.0,70.0,0.8,True,1.0,0.015,60,0.05,1,26,0.07692307692307693,0.032202275102904944,-0.926769615384526,0.40088250000007974,-1.0374072916665764,0.0009638403999997536,-0.28553364506433326,XLE,XLF,15,16,10,RISK_OFF,-0.26858726435523006
107,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,15:15,40.0,70.0,0.8,True,1.0,0.015,120,0.05,1,26,0.07692307692307693,0.032202275102904944,-0.926769615384526,0.40088250000007974,-1.0374072916665764,0.0009638403999997536,-0.28553364506433326,XLE,XLF,15,16,10,RISK_OFF,-0.26858726435523006
90,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,13:30,40.0,80.0,0.8,True,1.0,0.015,60,0.05,2,24,0.125,0.02889273658799542,-0.9260013541665346,0.2204058333334468,-1.0897738095236749,0.0008889613000002282,-0.25742967216757406,XLV,XLF,18,16,11,RISK_OFF,-0.3260352882868085
92,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,13:30,40.0,80.0,0.8,True,1.0,0.015,120,0.05,2,24,0.125,0.02889273658799542,-0.9260013541665346,0.2204058333334468,-1.0897738095236749,0.0008889613000002282,-0.25742967216757406,XLV,XLF,18,16,11,RISK_OFF,-0.3260352882868085
108,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,15:15,40.0,70.0,0.8,True,1.0,0.015,120,0.05,2,27,0.07407407407407407,0.030265550464109697,-0.9514535185184206,0.40088250000007974,-1.0596403999999007,0.0010275697999994737,-0.292841686154407,XLE,XLF,15,17,10,RISK_OFF,-0.32636781387679736
106,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,15:15,40.0,70.0,0.8,True,1.0,0.015,60,0.05,2,27,0.07407407407407407,0.030265550464109697,-0.9514535185184206,0.40088250000007974,-1.0596403999999007,0.0010275697999994737,-0.292841686154407,XLE,XLF,15,17,10,RISK_OFF,-0.32636781387679736
98,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,15:15,40.0,70.0,0.6,True,1.0,0.015,60,0.05,2,31,0.06451612903225806,0.026329240541649198,-0.9564432258063561,0.40088250000007974,-1.0500518965516275,0.0011859895999995933,-0.2968525070521763,XLE,XLF,15,17,11,RISK_OFF,-0.32914042038945746
100,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,15:15,40.0,70.0,0.6,True,1.0,0.015,120,0.05,2,31,0.06451612903225806,0.026329240541649198,-0.9564432258063561,0.40088250000007974,-1.0500518965516275,0.0011859895999995933,-0.2968525070521763,XLE,XLF,15,17,11,RISK_OFF,-0.32914042038945746
97,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,15:15,40.0,70.0,0.6,True,1.0,0.015,60,0.05,1,30,0.06666666666666667,0.026974406334458707,-0.9640469999999141,0.40088250000007974,-1.0615419642856279,0.0011568563999996696,-0.32294673587062644,XLE,XLF,15,17,11,RISK_OFF,-0.35115933665499677
99,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,15:15,40.0,70.0,0.6,True,1.0,0.015,120,0.05,1,30,0.06666666666666667,0.026974406334458707,-0.9640469999999141,0.40088250000007974,-1.0615419642856279,0.0011568563999996696,-0.32294673587062644,XLE,XLF,15,17,11,RISK_OFF,-0.35115933665499677
